ParfumIndex,Parfum,Hersteller,Geschlecht,Score,Erscheinungsjahr,parfumeur
46,Shalimar Parfum Initial Guerlain ,Guerlain,Frauen,8.1,2011,Thierry Wasser
47,Hundred Silent Ways Nishane  Extrait de Parfum,Nishane,Frauen,8.0,2016,Nicht angegeben
48,Pour Femme Lacoste  Eau de Parfum,Lacoste,Frauen,7.8,2003,Olivier Cresp
49,N° Chanel  Parfum,Chanel,Frauen,7.5,1921,Ernest Beaux
50,Duchessa Gritti ,Gritti,Frauen,8.4,2020,Luca Gritti
51,Delina La Rosée Parfums de Marly ,Parfums De Marly,Frauen,8.2,2021,Quentin Bisch
52,Black Opium Yves Saint Laurent  Eau de Parfum,Yves Saint Laurent,Frauen,7.2,2014,"Nathalie Lorson,
Marie Salamagne,
Olivier Cresp,
Honorine Blanc"
53,N° Chanel  Eau de Parfum,Chanel,Frauen,8.7,1971,Henri Robert
54,La Nuit Trésor à la Folie Lancôme ,Lancome,Frauen,8.3,2018,"Christophe Raynaud,
Amandine Clerc-Marie,
Honorine Blanc"
55,Dior Addict Dior  Eau de Parfum,Dior,Frauen,8.3,2002,Thierry Wasser
56,Bottega Veneta Bottega Veneta  Eau de Parfum,Bottega Veneta,Frauen,7.9,2011,Michel Almairac
57,Les Élixirs Charnels - Gourmand Coquin Guerlain ,Guerlain,Frauen,8.4,2008,Christine Nagel
58,Cloud Ariana Grande  Eau de Parfum,Ariana Grande,Frauen,7.5,2018,Clément Gavarry
59,Sycomore Chanel  Eau de Toilette,Chanel,Frauen,8.3,2008,"Jacques Polge,
Christopher Sheldrake"
60,This Is Her! Zadig & Voltaire ,Zadig  Voltaire,Frauen,7.5,2016,"Sidonie Lancesseur,
Michel Almairac,
Robertet"
61,Good Girl Carolina Herrera  Eau de Parfum,Carolina Herrera,Frauen,7.6,2016,Louise Turner
62,Classique Jean Paul Gaultier  Eau de Toilette,Jean Paul Gaultier,Frauen,7.6,1993,Jacques Cavallier-Belletrud
63,Shalimar Millésime Vanilla Planifolia Guerlain ,Guerlain,Frauen,8.7,2021,"Thierry Wasser,
Delphine Jelk"
64,Le Bain Joop!  Eau de Parfum,Joop,Frauen,7.5,1988,Symrise
65,Coco Noir Chanel  Eau de Parfum,Chanel,Frauen,7.7,2012,Jacques Polge
66,Vanille West Indies Ligne St Barth ,Ligne St Barth,Frauen,8.3,2007,Nicht angegeben
67,Jicky Guerlain Eau de Parfum,Guerlain,Frauen,8.0,1912,Aimé Guerlain
68,Chance Eau Tendre Chanel  Eau de Toilette,Chanel,Frauen,7.9,2010,Jacques Polge
69,Signature Montblanc  Eau de Parfum,Montblanc,Frauen,7.8,2020,"Guillaume Flavigny,
Nathalie Gracia-Cetto"
70,Dia Woman Amouage  Eau de Parfum,Amouage,Frauen,7.9,2002,Jean-Claude Ellena
71,Shalimar Ode à la Vanille - Sur la route du Mexique Guerlain ,Guerlain,Frauen,8.5,2013,Thierry Wasser
72,Lalique Le Parfum Lalique  Eau de Parfum,Lalique,Frauen,7.7,2005,Dominique Ropion
73,Samsara Guerlain  Eau de Parfum,Guerlain,Frauen,7.9,1989,"Jean-Paul Guerlain,
Gérard Anthony"
74,Light Blue Dolce & Gabbana  Eau de Toilette,Dolce Gabbana,Frauen,7.2,2001,Olivier Cresp
75,Après L'Ondée Guerlain  Eau de Toilette,Guerlain,Frauen,8.2,1906,Jacques Guerlain
76,Light Blue Eau Intense Dolce & Gabbana ,Dolce Gabbana,Frauen,8.0,2017,Olivier Cresp
77,Cheirosa ' Brazilian Crush Cheirosa ' Sol de Janeiro ,Sol De Janeiro,Frauen,8.0,2017,Jérôme Epinette
78,Chance Eau Tendre Chanel  Eau de Parfum,Chanel,Frauen,8.2,2019,Olivier Polge
79,Pure Poison Dior ,Dior,Frauen,7.8,2004,"Carlos Benaïm,
Dominique Ropion,
Olivier Polge"
